Job,Job Id,Company,Date Opened,Location,Status,Type,Owners,Description
Senior Actuarial Analyst; Specialty Lines,520054,QBE North America,6-18-19,Chicago; IL,Inactive,Full Time,jacobgalecki,"Our specialty lines property and casualty client is seeking a
Senior Actuarial Analyst to join its team in New York; Chicago;
or Madison; WI. In this role you will be responsible for creating
pricing and reserving models using the most up-to-date actuarial
and predictive modeling techniques.

Candidates should have at least three (3) years of experience and
have passed at least five (5) Casualty Actuarial Society (CAS)
exams; ACAS preferred. Proficiency in SQL and SAS/R is required.

Galecki Search Associates is a boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI.Our specialty lines property and casualty client is
seeking a Senior Actuarial Analyst to join its team in New York;
Chicago; or Madison; WI. In this role you will be responsible for
creating pricing and reserving models using the most up-to-date
actuarial and predictive modeling techniques.

Candidates should have at least three (3) years of experience and
have passed at least five (5) Casualty Actuarial Society (CAS)
exams; ACAS preferred. Proficiency in SQL and SAS/R is required.

Galecki Search Associates is a boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI."
Director - Business Analytics,520068,Homesite Insurance,4-19-20,Boston; MA,Inactive,Full Time,jacobgalecki,"Our Boston based client seeks a Director of Business Analytics to
build and lead a first-class Analytics team that plans and
implements projects in support of Distribution; Claims; and
Operations. Your strong project management skills will help you
oversee and drive multiple analytical projects to successful
completion; with focus on areas such as increased profitability;
yield; and growth as well as customer retention and positive
expense management.

Responsibilities:

* You will assess and select the appropriate methods and tools to
build state of the art transformative pricing; underwriting;
demand; and claims models to increase profitability; yield; and
growth
* You will establish strong partnership with adjacent groups in
the Enterprise organization to present a united front of
expertise that will be idolized externally
* You will always be on the hunt for the next best way to
approach data acquisition; mining and interpretation
* You will have a strong relationship with the internal data
science team and pair that with your knowledge of deep learning
neural networks and experience in frameworks in order to select
the appropriate techniques to leverage in your team's work
* Your recommendations are practical but are the result of
intellectual curiosity and striving for excellence in the areas
of claims; positive expense management; and customer satisfaction
* You keep a pulse on your recommendations through strong
reporting and automated dashboards
* You are a strong relationship builder and talent developer

Qualifications:

We welcome backgrounds in Mathematics; Statistics; Economics;
Finance; Physics; Engineering; or Computer Science. You have at
least ten (10) years of experience in statistical modeling; data
mining; machine learning; artificial intelligence; and applying
data base queries; with some of your experience from being in an
insurance environment. You are a comfortable and effective as a
leader of a small team. Your technical skills are unparalleled in
programming; data query tools; and statistical software
languages/packages (examples: SQL; R; Python; DataRobot; Tableau;
Mathematica; H2O; Spark; and Cloud Computing Environments). You
combine all of these skills to influence senior leaders and drive
strategic direction.

You will really impress us if you have a doctoral degree and/or
Actuarial credentials and knowledge of TensorFlow; Keras; Caffe;
PyTorch (deep learning; machine learning; AI tools etc)

Galecki Search Associates is a boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI.Our Boston based client seeks a Director of Business
Analytics to build and lead a first-class Analytics team that
plans and implements projects in support of Distribution; Claims;
and Operations. Your strong project management skills will help
you oversee and drive multiple analytical projects to successful
completion; with focus on areas such as increased profitability;
yield; and growth as well as customer retention and positive
expense management.

Responsibilities:

You will assess and select the appropriate methods and tools to
build state of the art transformative pricing; underwriting;
demand; and claims models to increase profitability; yield; and
growth
You will establish strong partnership with adjacent groups in the
Enterprise organization to present a united front of expertise
that will be idolized externally
You will always be on the hunt for the next best way to approach
data acquisition; mining and interpretation
You will have a strong relationship with the internal data
science team and pair that with your knowledge of deep learning
neural networks and experience in frameworks in order to select
the appropriate techniques to leverage in your team's work
Your recommendations are practical but are the result of
intellectual curiosity and striving for excellence in the areas
of claims; positive expense management; and customer satisfaction
You keep a pulse on your recommendations through strong reporting
and automated dashboards
You are a strong relationship builder and talent developer
Qualifications:

We welcome backgrounds in Mathematics; Statistics; Economics;
Finance; Physics; Engineering; or Computer Science. You have at
least ten (10) years of experience in statistical modeling; data
mining; machine learning; artificial intelligence; and applying
data base queries; with some of your experience from being in an
insurance environment. You are a comfortable and effective as a
leader of a small team. Your technical skills are unparalleled in
programming; data query tools; and statistical software
languages/packages (examples: SQL; R; Python; DataRobot; Tableau;
Mathematica; H2O; Spark; and Cloud Computing Environments). You
combine all of these skills to influence senior leaders and drive
strategic direction.

You will really impress us if you have a doctoral degree and/or
Actuarial credentials and knowledge of TensorFlow; Keras; Caffe;
PyTorch (deep learning; machine learning; AI tools etc)

Galecki Search Associates is a boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI."
Managing Actuary - Specialty Lines,520059,Argo Group,3-23-20,Denver; CO,Inactive,Full Time,Anna Kupik,"Our Global Specialty Lines client is seeking a Managing Actuary
to join its team. You will lead your team in conducting actuarial
and financial analyses which you will then report to senior
management. The goal of your work is to solve growth and
profitability challenges with data and a particular focus on
predictive modeling.

Location options: Denver; CO; Chicago; IL; New York; NY; or
Scottsdale; AZ

Qualifications:
You should have at least five (5) years of experience in an
actuarial role; in multiple insurance areas. You should be an
Fellow (FCAS) or Associate of the Casualty Actuarial Society
(ACAS). You should have proficiency in R; SQL; Excel and PowerBI
and predictive modeling experience as well as holistic rate
filing experience.

Galecki Search Associates is a boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI.Our Global Specialty Lines client is seeking a
Managing Actuary to join its team. You will lead your team in
conducting actuarial and financial analyses which you will then
report to senior management. The goal of your work is to solve
growth and profitability challenges with data and a particular
focus on predictive modeling.

Location options: Denver; CO; Chicago; IL; New York; NY; or
Scottsdale; AZ

Qualifications:
You should have at least five (5) years of experience in an
actuarial role; in multiple insurance areas. You should be an
Fellow (FCAS) or Associate of the Casualty Actuarial Society
(ACAS). You should have proficiency in R; SQL; Excel and PowerBI
and predictive modeling experience as well as holistic rate
filing experience.

Galecki Search Associates is a boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI."
Data Scientist - Small Business Insurance,520064,Berkley Regional Marketplace,4-30-20,Wilmington; DE,Inactive,Full Time,jacobgalecki,"Our Philadelphia-area client is looking for a Data Scientist to
join its new team to reinvent the company’s approach to
underwriting through technology. This team has been given a lot
of latitude to approach this problem the way they want. There is
tons of support from the executive team; and a lot of resources
are being put behind this team.

* You will be responsible for building pricing models for core
commercial lines of business.
* You will work with your team to automate the underwriting
functions using modern data science techniques.
* You will get to build new models while working to improve the
existing models.
* You will be instrumental in building out the data
infrastructure and architecture.
* You will get to work with internal and external data sources.

Qualifications:

* You will be successful in this role if you have at least 2–3
solid years of data science or analytics experience along with at
least 1 year of property & casualty (P&C) insurance experience.
* Proficiency in Python or R is required with Python the
preferred language.
* Proficiency in SQL and experience with Hadoop environment.
* Experience in machine learning and traditional predictive
modeling techniques like GLMs.

Galecki Search Associates is boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254
844.GALECKI.Our Philadelphia-area client is looking for a Data
Scientist to join its new team to reinvent the company?s approach
to underwriting through technology. This team has been given a
lot of latitude to approach this problem the way they want. There
is tons of support from the executive team; and a lot of
resources are being put behind this team.

You will be responsible for building pricing models for core
commercial lines of business.
You will work with your team to automate the underwriting
functions using modern data science techniques.
You will get to build new models while working to improve the
existing models.
You will be instrumental in building out the data infrastructure
and architecture.
You will get to work with internal and external data sources.
Qualifications:

You will be successful in this role if you have at least 2?3
solid years of data science or analytics experience along with at
least 1 year of property & casualty (P&C) insurance experience.
Proficiency in Python or R is required with Python the preferred
language.
Proficiency in SQL and experience with Hadoop environment.
Experience in machine learning and traditional predictive
modeling techniques like GLMs. Galecki Search Associates is
boutique search firm offering a customer-centric; bespoke
recruitment experience to actuaries; data scientists; analytics
professionals; and to those that hire them. Contact us at
contact@galeckisearch.com or 844.425.3254 844.GALECKI."
Chief Actuary; Excess & Surplus,520062,Nautilus Insurance Group,10-25-19,Scottsdale; AZ,Inactive,Full Time,jacobgalecki,"Our Western Excess & Surplus client is seeking a Senior Actuary
to lead its actuarial function. In this role you will be
responsible for all pricing and reserving; and serve as the
actuarial subject matter expert on the leadership team. You
should have at least ten (10) years of experience and be a Fellow
of the Casualty Actuarial Society (FCAS).

Galecki Search Associates is a boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI.Our Western Excess & Surplus client is seeking a
Senior Actuary to lead its actuarial function. In this role you
will be responsible for all pricing and reserving; and serve as
the actuarial subject matter expert on the leadership team. You
should have at least ten (10) years of experience and be a Fellow
of the Casualty Actuarial Society (FCAS).

Galecki Search Associates is a boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI."
Chief Actuary - Commercial Lines,520063,Berkley North Pacific,1-28-20,Bellevue; WA,Inactive,Full Time,jacobgalecki,"Our Seattle client has engaged Galecki Search Associates to
recruit for a Commercial Lines Chief Actuary to sit in either
Bellevue; WA or Boise; ID. In this role you and your team will be
responsible for all pricing; modeling; and reserving for this
regional commercial carrier.

This is a great opportunity for an upwardly-mobile actuary that
loves to build out teams and functions. You will play a crucial
role in determining the strategic direction of the company; and
report directly to the president. As such; there will be
opportunity for you to advance your career and lead an operating
unit.

Responsibilities:

* While you will be leading the actuarial function for the
company; you will also be a member of the executive leadership
team. You will need to be very comfortable with both the
technical and business sides of insurance.
* You will lead the team responsible for rate indications; rate
filings; competitive analysis; capital management; and reserve
analyses.
* You will have regular interaction with the actuarial team at
the holding company level.
* You will collaborate with your peers on the executive team to
drive forward the strategic vision of the company.

Qualifications:

Qualified candidates should have at least ten years of actuarial
experience; five years of management experience; experience with
both pricing and reserving; and be a Fellow of the Casualty
Actuarial Society (FCAS).

Galecki Search Associates is a boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI.
Our Seattle client has engaged Galecki Search Associates to
recruit for a Commercial Lines Chief Actuary to sit in either
Bellevue; WA or Boise; ID. In this role you and your team will be
responsible for all pricing; modeling; and reserving for this
regional commercial carrier.

This is a great opportunity for an upwardly-mobile actuary that
loves to build out teams and functions. You will play a crucial
role in determining the strategic direction of the company; and
report directly to the president. As such; there will be
opportunity for you to advance your career and lead an operating
unit.

Responsibilities:

While you will be leading the actuarial function for the company;
you will also be a member of the executive leadership team. You
will need to be very comfortable with both the technical and
business sides of insurance.
You will lead the team responsible for rate indications; rate
filings; competitive analysis; capital management; and reserve
analyses.
You will have regular interaction with the actuarial team at the
holding company level.
You will collaborate with your peers on the executive team to
drive forward the strategic vision of the company.
Qualifications:

Qualified candidates should have at least ten years of actuarial
experience; five years of management experience; experience with
both pricing and reserving; and be a Fellow of the Casualty
Actuarial Society (FCAS).
Galecki Search Associates is a boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI."
Data Scientist,520072,Lincoln Financial Group,1-7-19,Radnor; PA,Inactive,Full Time,jacobgalecki,"Our Boston Insurance client is seeking a Data Scientist to join
its team of 20+ data scientists. In this role the individual will
design and implement predictive and prescriptive models.
Candidates should have 1+ years of modeling experience and
proficiency in R and Python.

Galecki Search Associates is boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 |
844.GALECKI.Our Boston Insurance client is seeking a Data
Scientist to join its team of 20+ data scientists. In this role
the individual will design and implement predictive and
prescriptive models. Candidates should have 1+ years of modeling
experience and proficiency in R and Python.

Galecki Search Associates is boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 |
844.GALECKI."
Product Manager - Personal Auto,520078,GAINSCO,5-31-20,Miami; FL,Inactive,Full Time,jacobgalecki,"Hi; Welcome!

And yes; our client is hiring in the corona economy / COVID-19
economy. We recognize this is a stressful time for everyone;
including you; and we want to try to make things as easy and
transparent as possible. During this time we are keeping regular;
open; and honest communication with our clients; getting answers
to questions on their hiring process; offer process; and
onboarding process. We are happy to share this information with
you during informational conversations and answer any additional
questions you have.

Ready to learn more?

Our Southeast client is looking for a Product Manager to join its
team in either Miami; FL or Dallas; TX. In this role your work
will have the opportunity to drive the successful development of
new products and oversee the management / enhancement of existing
products. You will make recommendations that are based on
analysis and research which will inform product design; pricing;
underwriting; agency management; distribution; claims; and other
processes.

Responsibilities:

* Support production and underwriting profitability goals through
analysis of premium rates; loss experience; and retention then
presenting your findings to Senior Product Managers
* Develop state profit and growth strategies that leverage
business ideas and market opportunities into new product ideas
* Research and maintain awareness of all major competitors’
current market positions; business directions; financial
dynamics; and new technologies
* Ensure regulatory compliance for state filings; licensing;
consumer complaint resolution; assessments; market conduct
examinations; audits; and DMV report
* In collaboration with the state management and actuarial teams;
prepare state filings accurately and completely (including rates;
forms; and underwriting guidelines) in order to receive
Department of Insurance approval
* Utilize critical thinking skills in the analysis of large sets
of internal and external data in order to identify key levers and
priorities
* Document rate changes and program changes to be used in program
implementation
* Develop cross functional relationships and partnerships to
ensure a successful implementation
* Test rate changes and program changes to ensure programming has
been completed per defined business requirements

Qualifications:

* At least three (3) years of experience with preference to
personal auto insurance product experience
* Pricing analysis experience
* Experience recommending product changes and presenting to Sr.
Product Managers and Senior Management
* Experience with product decision making problem solving and
analytical skills
* Experience with cross functional collaboration in support of
new state implementation as well as research and development of
business requirements
* Experience with submitting form and rate filings and responding
to the DOI comments/objections
* Experience working independently and as part of a team
* Excellent project management skills
* Excellent analytical or quantitative aptitude; strong problem
solving skills
* MS Office skills with proficiency in Access; PowerPoint; Word;
Outlook; MapPoint; and Excel; including pivot tables with SAS or
SQL experience preferred

Galecki Search Associates is a boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI.Hi; Welcome!

And yes; our client is hiring in the corona economy / COVID-19
economy. We recognize this is a stressful time for everyone;
including you; and we want to try to make things as easy and
transparent as possible. During this time we are keeping regular;
open; and honest communication with our clients; getting answers
to questions on their hiring process; offer process; and
onboarding process. We are happy to share this information with
you during informational conversations and answer any additional
questions you have.

Ready to learn more?

Our Southeast client is looking for a Product Manager to join its
team in either Miami; FL or Dallas; TX. In this role your work
will have the opportunity to drive the successful development of
new products and oversee the management / enhancement of existing
products. You will make recommendations that are based on
analysis and research which will inform product design; pricing;
underwriting; agency management; distribution; claims; and other
processes.

Responsibilities:

Support production and underwriting profitability goals through
analysis of premium rates; loss experience; and retention then
presenting your findings to Senior Product Managers
Develop state profit and growth strategies that leverage business
ideas and market opportunities into new product ideas
Research and maintain awareness of all major competitors? current
market positions; business directions; financial dynamics; and
new technologies
Ensure regulatory compliance for state filings; licensing;
consumer complaint resolution; assessments; market conduct
examinations; audits; and DMV report
In collaboration with the state management and actuarial teams;
prepare state filings accurately and completely (including rates;
forms; and underwriting guidelines) in order to receive
Department of Insurance approval
Utilize critical thinking skills in the analysis of large sets of
internal and external data in order to identify key levers and
priorities
Document rate changes and program changes to be used in program
implementation
Develop cross functional relationships and partnerships to ensure
a successful implementation
Test rate changes and program changes to ensure programming has
been completed per defined business requirements
Qualifications:

At least three (3) years of experience with preference to
personal auto insurance product experience
Pricing analysis experience
Experience recommending product changes and presenting to Sr.
Product Managers and Senior Management
Experience with product decision making problem solving and
analytical skills
Experience with cross functional collaboration in support of new
state implementation as well as research and development of
business requirements
Experience with submitting form and rate filings and responding
to the DOI comments/objections
Experience working independently and as part of a team
Excellent project management skills
Excellent analytical or quantitative aptitude; strong problem
solving skills
MS Office skills with proficiency in Access; PowerPoint; Word;
Outlook; MapPoint; and Excel; including pivot tables with SAS or
SQL experience preferred
Galecki Search Associates is a boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI."
Insurance Risk Analyst,520110,Ally Financial Inc.,10-7-19,Detroit; MI,Inactive,Full Time,Austin Jared,
Actuarial Consultant,520138,Oliver Wyman,5-19-20,Indianapolis; IN,Inactive,Full Time,jacobgalecki,"Hi; Welcome!

And yes; our client is hiring in the corona economy / COVID-19
economy. We recognize this is a stressful time for everyone;
including you; and we want to try to make things as easy and
transparent as possible. During this time we are keeping regular;
open; and honest communication with our clients; getting answers
to questions on their hiring process; offer process; and
onboarding process. We are happy to share this information with
you during informational conversations and answer any additional
questions you have.

Ready to learn more?

Our Actuarial Consulting Client is seeking a strong business
development Consulting Actuary to join its Property & Casualty
(P&C) Insurance Consulting team. In this role you work directly
with the partner to develop and grow their consulting offerings
to insurance carriers. Our client is a global prestigious
consulting firm. You will have the opportunity to work with many
of the best actuaries in the country.

NOTE: Compensation scales with your efforts and you can be based
remotely from anywhere.

Responsibilities:

* You will work directly with the Insurance Practice partner to
develop new clients and assist with servicing existing clients
looking for ways to cross sell services to optimize revenue
* You will assist in managing the book of business and junior
members of staff
* You will partner closely with insurance company clients to
provide solutions including Reserve Analysis; Pricing Reviews;
Enterprise Risk Modeling (ERM); Economic Capital Modeling; and
Claims Analytics

Qualifications:
You should have at least ten (10) years of property & casualty
actuarial experience and be an Fellow of the Casualty Actuarial
Society (FCAS). You should have a proven history of success at
developing business and a strong aptitude for sales.

Galecki Search Associates is a boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI.Hi; Welcome!

And yes; our client is hiring in the corona economy / COVID-19
economy. We recognize this is a stressful time for everyone;
including you; and we want to try to make things as easy and
transparent as possible. During this time we are keeping regular;
open; and honest communication with our clients; getting answers
to questions on their hiring process; offer process; and
onboarding process. We are happy to share this information with
you during informational conversations and answer any additional
questions you have.

Ready to learn more?

Our Actuarial Consulting Client is seeking a strong business
development Consulting Actuary to join its Property & Casualty
(P&C) Insurance Consulting team. In this role you work directly
with the partner to develop and grow their consulting offerings
to insurance carriers. Our client is a global prestigious
consulting firm. You will have the opportunity to work with many
of the best actuaries in the country.

NOTE: Compensation scales with your efforts and you can be based
remotely from anywhere.

Responsibilities:

You will work directly with the Insurance Practice partner to
develop new clients and assist with servicing existing clients
looking for ways to cross sell services to optimize revenue
You will assist in managing the book of business and junior
members of staff
You will partner closely with insurance company clients to
provide solutions including Reserve Analysis; Pricing Reviews;
Enterprise Risk Modeling (ERM); Economic Capital Modeling; and
Claims Analytics Qualifications:
You should have at least ten (10) years of property & casualty
actuarial experience and be an Fellow of the Casualty Actuarial
Society (FCAS). You should have a proven history of success at
developing business and a strong aptitude for sales.

Galecki Search Associates is a boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI."
Senior Vice President,508668,PlanGap,11-9-20,Atlanta; GA,Inactive,Full Time,Anna Kupik,"Hi; Welcome!

And yes; our client is hiring in the corona economy / COVID-19
economy. We recognize this is a stressful time for everyone;
including you; and we want to try to make things as easy and
transparent as possible. During this time we are keeping regular;
open; and honest communication with our clients; getting answers
to questions on their hiring process; offer process; and
onboarding process. We are happy to share this information with
you during informational conversations and answer any additional
questions you have.

Ready to learn more?

Our client helps people to achieve peace of mind related to
promised future streams of income. Working with some of the
largest providers of annuities and life insurance in the US; they
provide specialized product designs to help people protect what
they’ve earned. They are built on a foundation of innovation and
creativity; which allows them to proactively solve complex
financial concerns in new and inventive ways.

In this role you will focus on driving sales of annuities in
collaboration with our client's Brokerage General Agent (BGA)
partners. You will be responsible for proactively creating a
valuable advisor experience that will further develop existing
relationships and build new ones. Your goal is to help agents
describe the products with certainty and confidence; while
promoting the company's brand and increasing market awareness.

Responsibilities:

* You will partner with the management team to develop and
execute territory sales plans
* You will cultivate new annuity sales opportunities and further
develop existing financial advisor relationships
* You will coordinate and execute territory marketing campaigns;
call campaigns; presentations; and other sales activities that
drive territory growth
* Using proven sales and marketing resources; you will increase
annuity market share
* You will track; document and report key sales metrics
* You will provide reactive sales support on incoming calls; as
the subject matter expert on the company's annuity solutions
* You will take accountability for outstanding issues in
territory until resolution is reached

Qualifications:

* You are self-motivated with a proven track record of exceeding
performance expectations
* You have excellent communication; interpersonal;
organizational; and territory management skills
* You are proactive; anticipating and approaching potential
challenges with curiosity and grit
* You are able to maintain business relationships through high
levels of sales and service support
* You have the ability to prepare and conduct in person and
virtual presentation to a variety of audiences
* You hold a bachelor’s degree from an accredited higher
education institution or have equivalent work experience
* You have at least one (1) year of comparable annuity / life
wholesaling experience; 3-5 years preferred
* You must hold or obtain state Life Insurance licenses in all
necessary states
* You have thorough knowledge of annuity product offerings
without legacy thinking constraints

Unique Aspects of this Position:

* Internal / external wholesaler cross training
* Aggressive performance bonus opportunities
* Aggressive advancement opportunities
* Direct interaction with management team
* Remote opportunities available

Galecki Search Associates is a boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI."
Not Wholesaler - Pooling Req,520073,PlanGap,9-21-20,Atlanta; GA,Inactive,Full Time,Austin Jared,
Chief Actuary; Life,520124,National Life Group,1-20-19,Montpelier; VT,Inactive,Full Time,jacobgalecki,"Our New England client is seeking a chief actuary to lead its
actuarial team. In this role you will manage all aspects of the
actuarial operations including pricing; reserving; and modeling
(capital; predictive). Candidates should have a minimum of
fifteen (15) years of experience and be a Fellow of the Society
of Actuaries (FSA).

Galecki Search Associates is boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI.Our New England client is seeking a chief actuary to
lead its actuarial team. In this role you will manage all aspects
of the actuarial operations including pricing; reserving; and
modeling (capital; predictive). Candidates should have a minimum
of fifteen (15) years of experience and be a Fellow of the
Society of Actuaries (FSA).

Galecki Search Associates is boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI."
Assistant Actuary - Personal Auto Modeling,520137,Metromile,2-10-20,Boston; MA,Inactive,Full Time,jacobgalecki,"Our InsurTech client is looking for an Actuary that is at ease
producing quality work in a dynamic; fast paced environment. Your
work will focus on growth and profitability by designing and
implementing initiatives that lead to better conversion; fight
fraud; delight customers; and meet loss ratio targets. Your work
will be crucial to product success and to the analyses for
assigned states.

Responsibilities:

* You inform product maintenance; enhancement and profitability
through your pricing impact analysis
* You monitor real-time coverage changes to determine pricing
impact then evaluate modifications to case reserving practices
and implement necessary changes
* Your actuarial findings are sound because you've rigorously
tested your financial models which you ensure are valid and
maintain their validity through regular monitoring
* You save time and make things easier for others through
automating and optimization of reports
* Your comprehensive reports inform Risk and Finance Executives
on monthly/quarterly loss runs and on outside actuarial reports
* You are the actuarial guru for the Finance and Data Science /
Analytics teams for all of their data support needs; including
projects like monthly insurance costs; forecasting; claims /
exposure data.

Qualifications:

You have at least four (4) years of Property and Casualty (P&C)
actuarial experience with an emphasis on personal auto pricing.
You will approach your work with an analytical and problem
solving mindset; using tools like Excel; Access and SQL. As part
of a growing team; you must have a keen attention to detail;
organization skills; strong written and oral communication skills
as well as presentation skills (including to senior management).
You have completed five (5) or more actuarial exams.

You will really impress us if you already have your Associate of
the Casualty Actuarial Society (ACAS) credentials; you've had at
least one (1) year of experience supervising employees; have an
interest in coding/automation; and telematics experience.Our
InsurTech client is looking for an Actuary that is at ease
producing quality work in a dynamic; fast paced environment. Your
work will focus on growth and profitability by designing and
implementing initiatives that lead to better conversion; fight
fraud; delight customers; and meet loss ratio targets. Your work
will be crucial to product success and to the analyses for
assigned states.

Responsibilities:

You inform product maintenance; enhancement and profitability
through your pricing impact analysis
You monitor real-time coverage changes to determine pricing
impact then evaluate modifications to case reserving practices
and implement necessary changes
Your actuarial findings are sound because you've rigorously
tested your financial models which you ensure are valid and
maintain their validity through regular monitoring
You save time and make things easier for others through
automating and optimization of reports
Your comprehensive reports inform Risk and Finance Executives on
monthly/quarterly loss runs and on outside actuarial reports
You are the actuarial guru for the Finance and Data Science /
Analytics teams for all of their data support needs; including
projects like monthly insurance costs; forecasting; claims /
exposure data.
Qualifications:

You have at least four (4) years of Property and Casualty (P&C)
actuarial experience with an emphasis on personal auto pricing.
You will approach your work with an analytical and problem
solving mindset; using tools like Excel; Access and SQL. As part
of a growing team; you must have a keen attention to detail;
organization skills; strong written and oral communication skills
as well as presentation skills (including to senior management).
You have completed five (5) or more actuarial exams.

You will really impress us if you already have your Associate of
the Casualty Actuarial Society (ACAS) credentials; you've had at
least one (1) year of experience supervising employees; have an
interest in coding/automation; and telematics experience."
Life Actuarial Analyst,520092,National Life Group,1-15-19,Addison; TX,Inactive,Full Time,jacobgalecki,"Our DFW client is seeking a life actuarial analyst to join its
team. In this role you will assist in pricing and valuation of
life and annuity products. Candidates should have at least two
(2) years of actuarial experience and a minimum of four (4)
Society of Actuaries (SOA) exams; Associate of the Society of
Actuaries (ASA) preferred.

Galecki Search Associates is boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI.Our DFW client is seeking a life actuarial analyst to
join its team. In this role you will assist in pricing and
valuation of life and annuity products. Candidates should have at
least two (2) years of actuarial experience and a minimum of four
(4) Society of Actuaries (SOA) exams; Associate of the Society of
Actuaries (ASA) preferred.

Galecki Search Associates is boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI."
Senior Actuarial Analyst - Commercial Lines,520096,Country Financial,2-9-20,Bloomington; IL,Inactive,Full Time,jacobgalecki,"Our Illinois multi-line client is seeking a Senior Actuarial
Analyst to join its commercial team. In this role you will work
on both pricing and reserving of all commercial lines. You should
have at least three (3) years of actuarial experience and at
least five (5) Casualty Actuarial Society (CAS) exams.

Galecki Search Associates is a boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI.Our Illinois multi-line client is seeking a Senior
Actuarial Analyst to join its commercial team. In this role you
will work on both pricing and reserving of all commercial lines.
You should have at least three (3) years of actuarial experience
and at least five (5) Casualty Actuarial Society (CAS) exams.

Galecki Search Associates is a boutique search firm offering a
customer-centric; bespoke recruitment experience to actuaries;
data scientists; analytics professionals; and to those that hire
them. Contact us at contact@galeckisearch.com or 844.425.3254 /
844.GALECKI."
Senior Product Manager - Personal Lines Insurance,520111,Centauri Insurance,5-5-20,Sarasota; FL,Inactive,Full Time,jacobgalecki,
